partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFR,AT,: ,313226,213408,270992,327792,372601,324506,: u,210392,192295,218894,: 
AFR,BE,431389,395527,527666,515951,464193,558402,487201,445262,: u,449413,568082,: 
AFR,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AFR,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,481309,405839,: 
AFR,CY,19795,25388,22589,17026,26214,22992,23718,23878,15049,12364 bu,13702 u,: 
AFR,CZ,: ,311822,: u,: u,: u,: u,: ,: u,: ,355770,263460,: 
AFR,DE,: u,: u,: u,: u,2875442,: u,3231157,3084604,: u,2648012,3085035,: 
AFR,DK,101700,104600,153652,112976,147896,147120,133323,221620,213316,234532,155776 bu,: 
AFR,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,8820260 e,8506415 e,: 
AFR,EE,: ,: ,: ,: ,27377 e,: ,: u,: u,: u,40237 u,26733 u,: 
AFR,EL,16811,46831,: ,34642,37150,54263,: ,23179,26700,: u,: u,: 
AFR,ES,275638,388329,541902,: u,806943,779667,922982,1036777,: u,812559,787499,784872
AFR,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,12334134 e,11830711 e,: 
AFR,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,12361719 e,11893982 e,: 
AFR,FI,61000,92000,75000,74000,74000,94000,115000,107000,80000,114500 bu,81352 u,72107 u
AFR,FR,2748000,3723000,3651902,3797488,3495225,3354441,3292494,3126836,2584081,2492035,2297175,: 
AFR,HR,: ,: ,: ,: ,34467,: ,27414,26147,14497,: u,: u,: 
AFR,HU,: ,: ,137145,: u,: u,: u,: u,: u,51275,66812,60654,55966
AFR,IE,65000,61000,60200,89000,135000,121000,91000,93000,44000,49266 u,79059,75795
AFR,IT,1185770,1567148,1431590,1159153,1469834,1591942,1305630,1615598,930522,1078054,618153,925293 bu
AFR,LT,: ,25502,41110,49465,: u,: u,: u,: u,: u,22991,22381,: 
AFR,LU,21000,28000,35000,33000,34319,40514,55564,48018,42707,37090,41998,40541
AFR,LV,: ,: u,4894,18531,22420,24405,5889,3464,10043,: u,: u,: u
AFR,MT,: ,: ,: ,: ,199 e,: ,15267,15634,6621,9919,12634,: 
AFR,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,567425 b,494282,: 
AFR,NO,: ,115465,137188,124264,128990,163428,177847,213689,137306,: ,: ,: 
AFR,PL,: ,167000 e,141000,225000,223000,325000,337000,383000,353000 e,: u,: u,: 
AFR,PT,23801,66054,: ,: ,100159,: u,90924,81078,94824,117138,88524,: 
AFR,RO,: ,: ,4380,: ,: ,: ,: ,: ,: ,: u,: ,: 
AFR,SE,: ,: ,: ,232000,293000,314000,325000,421000,229000,: ,: ,: 
AFR,SI,: u,: u,: u,: u,: u,: u,: ,: u,: u,26968 u,24163 u,: 
AFR,SK,177899,286520,257676,216572,: ,356555,: ,157599,112600,167886 u,: u,: 
AFR,UK,1324862,1333054,1710228,2519339,2543374,2606336,2427240,2485985,2085694,2240664,2289989,: 
AFR_OTH,AT,: ,: ,107605 e,136763 e,202796,269556,226418,: u,148083,154822,155375,: 
AFR_OTH,BE,: ,: ,207549,220603,186173,251448,222572,238451,: u,156919,210121,: 
AFR_OTH,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
AFR_OTH,CH,: ,: ,: ,: ,: ,: ,: u,: u,: u,285631 u,267361 u,: 
AFR_OTH,CY,: ,: ,18340,13161,22072,19066,19810,18250,11596,: u,: u,: 
AFR_OTH,CZ,: ,: ,: u,: u,: ,: ,: ,: u,: ,243351,131610 u,: 
AFR_OTH,DE,: ,: ,: u,: ,1782645,: u,2119047,: u,: u,1825186,1661523,: 
AFR_OTH,DK,: ,: ,107718,82448,87974,103222,66372,179037,157490,173394,: u,: 
AFR_OTH,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,4456386 e,3777049 e,: 
AFR_OTH,EE,: ,: ,: ,: ,27377 e,: ,: ,: ,: ,: u,23756 u,: 
AFR_OTH,EL,: ,: ,: ,22681,28535,41807,: ,23179,22914,: u,: u,: 
AFR_OTH,ES,: ,: ,153088,: u,: u,: u,: u,: u,: u,100550,90110,78660
AFR_OTH,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,6401036 e,5464399 e,: 
AFR_OTH,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,6429557 e,5499322 e,: 
AFR_OTH,FI,: ,: ,46000,36000,44000,64000,84000,81000,: ,100712 bu,69214 u,: u
AFR_OTH,FR,: ,: ,1295099,1064911,1111275,907598,979424,959166,892009,668252,728481,: 
AFR_OTH,HR,: ,: ,: ,: ,31853,: ,20256,26147,13221,: u,: u,: 
AFR_OTH,HU,: ,: ,54947,: u,: u,38963,: u,: u,36592,44739,43088,42733
AFR_OTH,IE,: ,: ,19000,30000,50000,50000,31000,: u,: u,30903 u,53380 u,: u
AFR_OTH,IT,: ,: ,784739,634855,978734,1034450,782790,986126,638240,765990,366708 u,: u
AFR_OTH,LT,: ,: ,23919,: u,: u,: u,: u,: u,: u,20708,19831,: 
AFR_OTH,LU,: ,: ,18000,16000,14993,19834,27272,28254,21348,19733,20860,19056
AFR_OTH,LV,: ,: ,: u,: u,22326,20574,5173,2712,9342,: u,: u,: u
AFR_OTH,MT,: ,: ,: ,: ,: ,: ,2925,2883,2281,1819 u,1876 u,: 
AFR_OTH,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,373641 b,271026,: 
AFR_OTH,NO,: ,94356,115407,85423,90524,117781,133722,175241,107723,: ,: ,: 
AFR_OTH,PL,: ,: ,: ,: ,32000,: ,: ,41000,38000 e,: u,: u,: 
AFR_OTH,PT,: ,: ,: ,: ,61609,: u,50050,48143,65913,82992,58822,: 
AFR_OTH,RO,: ,: ,4380,: ,: ,: ,: ,: ,: ,: ,: ,: 
AFR_OTH,SE,: ,: ,: ,155000,184000,214000,223000,280000,196000,: ,: ,: 
AFR_OTH,SI,: ,: ,: u,: u,: u,: u,: ,: u,: u,21511 u,: u,: 
AFR_OTH,SK,: ,: ,170450,147031,: ,: ,: ,118529,95975,105118 u,: u,: 
AFR_OTH,UK,: ,639964,940067,1416270,1243086,1406757,1428749,1373339,1120881,1100801,1092866,: 
AME,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,281977,293105,: 
AME,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,312816,343357,: 
AME,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,590360,581850,: 
AME,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,19802 bu,22431 u,: 
AME,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,4244060,4528155,: 
AME,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,420331,334330 b,: 
AME,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,10884381 e,10910064 e,: 
AME,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,24734 u,: 
AME,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,1107924,1130937,1031368
AME,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,16554912 e,16537506 e,: 
AME,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,16574784 e,16565666 e,: 
AME,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,247015 b,218783,300314
AME,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,1983018,2173409,: 
AME,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,94187,118365,126728
AME,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,393170,409996,435097
AME,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,1133733,765182,518369 bu
AME,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,28264,27881,: 
AME,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,46955,55008,50806
AME,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u
AME,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,5063,4251,: 
AME,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,942661 b,786582,: 
AME,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,97782,83679,: 
AME,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
