"Excelsior","Crocker Amazon","Marina","Nob Hill","North Beach","Pacific Heights","Presidio Heights","Russian Hill","Visitacion Valley","Diamond Heights","Glen Park","Inner Sunset","Lakeshore","Outer Mission","West Of Twin Peaks","Bayview","Bernal Heights","Castro","Haight","Mission","Noe","Parkside","Potrero","South Of Market","Twin Peaks","Western Addition","Inner Richmond","Outer Richmond","Outer Sunset","Seacliff","Golden Gate Park","Chinatown","Downtown","Financial District","Ocean View"
"Excelsior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206155805394267,0
"Crocker Amazon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marina",0,0,0.00669783949221751,0.00419501254421202,0.00239236295098598,0.00416624493746573,0.00108829165992487,0.00502462154881074,0,0,0,0.000297245699911175,0,0,0,0,0.000215743502273761,0.00143829001515841,0.00146227054762667,0.0035477639729595,0.000680803252276846,0,0.000508197611799094,0.0103075644643229,0,0.00553268367737555,0.000949285861549539,0.00085819596703263,0,0,0.00035477639729595,0.00142388363124621,0.00737841693910388,0.0124987799734753,0
"Nob Hill",0,0,0.00285738657212659,0.00103075644643229,0.00102118229787622,0.00134241304636347,0.000397927807415388,0.00141909655696818,0,0,0,0.000244511109020053,0,0,0,0,0.000124653607756852,0.00122255554510026,0.000628055113062295,0.00191293294593318,0.000345188700416456,0,0.000335601003536962,0.00518720142995148,0,0.00229648598219104,0.000287658003031681,0.000230127305646907,0,0,0,0.000489004153608868,0.0029484764666435,0.00503862148302008,0
"North Beach",0,0,0.00251700752652721,0.00119857501263201,0.000867770115588696,0.00126568437468066,0.000167800501768481,0.0014814188447388,0,0,0,0.000177388198647975,0,0,0,0,0,0.000767106072515721,0.00051777176035516,0.00117938155444178,0.000340392593922804,0,0.000234918896032749,0.00441553408854819,0.000163004395274829,0.00170198555015307,0.000258890396285389,0.000201359698900615,0,0,0,0.00040271939780123,0.00245947231303463,0.00429567658728499,0
"Pacific Heights",0,0,0.0051971368671323,0.00220539608767413,0.00143829001515841,0.00240672417382008,0.000652035645530554,0.00249781406833699,0,0,0,0.000258890396285389,0,0,0,0,0.000210947395780109,0.00111227219239313,0.000987627616851896,0.00275672252905361,0.000441074701427016,0,0.00045066239830651,0.00796822061902001,0,0.00330326189615506,0.000512984686077127,0.000479430005052802,0,0,0.000186975895527469,0.00111705926667116,0.00550378058739497,0.00963195473602691,0
"Presidio Heights",0,0,0.0018409913485284,0.000685590326554879,0.000292449593417524,0.000800660753540046,0.000186975895527469,0.000695164475110944,0,0,0,0,0,0,0,0,0,0.000278070306152187,0.000206155805394267,0.00059450043203797,0.000177388198647975,0,0,0.00139032895022189,0,0.000834215434564371,0.000206155805394267,0,0,0,0,0.000206155805394267,0.00124653607756852,0.00203279044719638,0
"Russian Hill",0,0,0.0054030713832439,0.00214786087418154,0.00126568437468066,0.00211426103207913,0.000599287506316003,0.00256496859146373,0,0,0,0.000225331199153255,0,0,0,0,0.000163004395274829,0.0010930787342029,0.000791041443905886,0.00251222045224918,0.000465068782218704,0,0.000326013306657467,0.00648648564673455,0,0.00301563098977024,0.000469855856496736,0.000349984806910107,0,0,0.000134241304636347,0.000920518254803247,0.0045066239830651,0.00775731838431799,0
"Visitacion Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diamond Heights",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glen Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220539608767413,0,0,0,0.000335601003536962,0,0.000244511109020053,0,0,0,0,0,0,0.000186975895527469,0.000139032895022189,0
"Inner Sunset",0,0,0.000421899307668028,0.000249302699405895,0.000158212804888987,0.000244511109020053,0,0.000263686502779041,0,0,0,0,0,0,0,0,0,0.00042669089805387,0.000345188700416456,0.000795873679262013,0.000210947395780109,0,0,0.00106431112745661,0,0.000584881122403809,0.000167800501768481,0,0,0,0,0.000119857501263201,0.000805447827818079,0.000575306973847744,0
"Lakeshore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outer Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167800501768481,0,0,0,0,0,0,0,0,0,0,0
"West Of Twin Peaks",0,0,0.000167800501768481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158212804888987,0,0,0,0.00037874789754859,0,0.000143829001515841,0,0,0,0,0,0,0.000158212804888987,0.000167800501768481,0
"Bayview",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124653607756852,0,0,0,0.000196568108514773,0,0,0,0,0,0,0,0,0.000115061394769549,0.000153416698395335,0
"Bernal Heights",0,0,0.000186975895527469,0.000225331199153255,0.000143829001515841,0.000239715002526401,0,0.000225331199153255,0,0,0,0.000119857501263201,0,0,0,0,0.000206155805394267,0.000666396868364652,0.000326013306657467,0.00135677426919756,0.000273274199658535,0,0.000249302699405895,0.00195127470123553,0,0.00084857665739847,0,0,0,0,0,0,0.000886963573778922,0.000882131338422794,0
"Castro",0,0,0.00152459283539728,0.00131364543961717,0.000757486762881561,0.000973221232939703,0.000210947395780109,0.00118900086407594,0,0,0,0.000436278594933364,0,0,0,0,0.000604074580594036,0.00214302863882542,0.0017067726244311,0.00490946079966938,0.00104037575606645,0,0.000915731180525214,0.0110653673547511,0.00042669089805387,0.00376833067837377,0.000584881122403809,0.00040271939780123,0.000124653607756852,0,0.000297245699911175,0.000479430005052802,0.00470804239136724,0.00425733483198264,0
"Haight",0,0,0.0015869151231679,0.000915731180525214,0.000608861654872069,0.000963647084383637,0.000234918896032749,0.00102596937215425,0,0,0,0.000297245699911175,0,0,0,0,0.000182184305141627,0.00127047144895869,0.000728719156135269,0.00340875817458417,0.000575306973847744,0,0.000431487004547522,0.00489004153608868,0,0.0021862026294839,0.000345188700416456,0.00033080489704331,0.000119857501263201,0,0.000143829001515841,0.000522558834633193,0.00291492178561917,0.00352861567584737,0
"Mission",0,0,0.00371558253915922,0.00300601168013608,0.00147663177046076,0.00253136874936131,0.000484217079330835,0.0024546852387566,0,0,0.000278070306152187,0.000949285861549539,0,0.000129445198142695,0.000124653607756852,0.000148625108009492,0.0012273426193783,0.00512984686077127,0.00372036961343725,0.00829879971067285,0.00257932981429783,0,0.00277591598724384,0.0197141654206575,0.000292449593417524,0.00735944928630413,0.000810234902096112,0.000623268038784262,0.000273274199658535,0,0.000345188700416456,0.00106914336281274,0.00806396210458067,0.00966537393381695,0
